Player,PIE_2017,PIE_2018,predictions,pred_error,AGE,MIN_2017,true_change_in_PIE,TEAM,Team_2018
Alex Caruso,6.2,9.6,7.36432125955683,2.23567874044317,24,15.2,3.3999999999999995,LAL,LAL
Anthony Davis,18.8,19.7,14.630221169923528,5.069778830076471,25,36.4,0.8999999999999986,NOP,NOP
Gordon Hayward,4.8,11.4,9.861100572882759,1.5388994271172418,28,5.3,6.6000000000000005,BOS,BOS
Thaddeus Young,9.0,10.4,10.750230401938754,0.3502304019387541,30,32.2,1.4000000000000004,IND,IND
Zach LaVine,9.2,12.5,9.512528700850993,2.987471299149007,23,27.3,3.3000000000000007,CHI,CHI
George Hill,7.9,7.9,8.126518530250246,0.22651853025024593,32,27.0,0.0,CLE,MIL
Jeremy Lin,7.1,10.0,5.5116440597832295,4.4883559402167705,29,25.2,2.9000000000000004,BKN,TOR
Noah Vonleh,10.8,10.4,10.684087090683699,0.2840870906836983,22,16.2,-0.40000000000000036,CHI,NYK
Walt Lemon Jr.,3.0,10.9,6.474474398796106,4.425525601203894,25,7.0,7.9,NOP,CHI
P.J. Tucker,5.9,5.6,8.299972521500004,2.6999725215000048,33,27.8,-0.3000000000000007,HOU,HOU
D.J. Wilson,6.5,7.5,7.776814294347095,0.27681429434709504,22,3.2,1.0,MIL,MIL
DeAndre Jordan,15.2,15.4,12.676657910008956,2.7233420899910445,29,31.5,0.20000000000000107,LAC,NYK
Nene,9.2,6.9,10.105728302928314,3.205728302928314,35,14.6,-2.299999999999999,HOU,HOU
Paul George,12.0,16.1,11.068824464318961,5.03117553568104,28,36.6,4.100000000000001,OKC,OKC
Miles Plumlee,7.1,12.2,8.822542626562578,3.377457373437421,29,16.7,5.1,ATL,ATL
JaMychal Green,10.1,10.3,10.324258432787316,0.024258432787314987,28,28.0,0.20000000000000107,MEM,LAC
Dwyane Wade,10.4,11.5,10.807537678852654,0.692462321147346,36,22.9,1.0999999999999996,MIA,MIA
Andrew Wiggins,7.6,7.8,9.786753967761488,1.986753967761488,23,36.3,0.20000000000000018,MIN,MIN
Malik Beasley,6.0,8.9,6.9657682285246505,1.9342317714753499,21,9.4,2.9000000000000004,DEN,DEN
Avery Bradley,6.0,4.7,8.375733140868498,3.6757331408684975,27,31.2,-1.2999999999999998,LAC,MEM
Tony Bradley,8.8,8.5,9.721266157396222,1.2212661573962222,20,3.2,-0.3000000000000007,UTA,UTA
Terrance Ferguson,2.8,2.7,4.461444521276162,1.7614445212761618,20,12.5,-0.09999999999999964,OKC,OKC
Willy Hernangomez,13.4,11.8,11.40594190876946,0.3940580912305407,24,10.3,-1.5999999999999996,CHA,CHA
Tyus Jones,9.0,9.5,7.881605375650093,1.6183946243499072,22,17.9,0.5,MIN,MIN
Wade Baldwin IV,9.4,2.1,9.142897419117924,7.042897419117924,22,11.5,-7.300000000000001,POR,POR
Rajon Rondo,11.5,9.9,10.826883252880853,0.9268832528808524,32,26.2,-1.5999999999999996,NOP,LAL
Ian Mahinmi,6.1,6.8,9.1403036842769,2.3403036842768996,31,14.9,0.7000000000000002,WAS,WAS
Rudy Gay,12.5,12.8,11.150952911577525,1.649047088422476,31,21.6,0.3000000000000007,SAS,SAS
Jaylen Morris,7.7,10.9,8.302307230623647,2.597692769376353,22,16.4,3.2,ATL,MIL
Eric Moreland,10.3,9.5,9.862678704434204,0.36267870443420414,26,12.0,-0.8000000000000007,DET,TOR
John Henson,9.7,12.7,11.172902506508041,1.527097493491958,27,25.9,3.0,MIL,CLE
Jose Calderon,6.7,5.6,6.73142932377238,1.1314293237723803,36,16.0,-1.1000000000000005,CLE,DET
T.J. Warren,10.7,9.9,10.314649482425159,0.4146494824251583,24,33.0,-0.7999999999999989,PHX,PHX
LaMarcus Aldridge,15.9,14.3,13.453254025351164,0.8467459746488366,32,33.4,-1.5999999999999996,SAS,SAS
Thon Maker,5.0,7.4,7.1247069074978056,0.2752930925021948,21,16.7,2.4000000000000004,MIL,DET
Brook Lopez,9.2,8.8,10.187020175075753,1.3870201750757527,30,23.4,-0.3999999999999986,LAL,MIL
Greg Monroe,15.3,10.6,12.884193431897174,2.284193431897174,28,20.4,-4.700000000000001,BOS,PHI
Nikola Vucevic,13.9,18.5,13.312251314926105,5.187748685073895,27,29.5,4.6,ORL,ORL
JR Smith,5.2,5.1,6.668170072278077,1.5681700722780771,32,28.1,-0.10000000000000053,CLE,CLE
Johnathan Motley,12.6,11.9,11.329783409255818,0.5702165907441827,23,16.0,-0.6999999999999993,DAL,LAC
Jon Leuer,7.0,9.1,9.052195451232167,0.047804548767832244,29,17.1,2.0999999999999996,DET,DET
D.J. Augustin,10.7,10.3,8.156072455188891,2.1439275448111097,30,23.5,-0.3999999999999986,ORL,ORL
Ed Davis,11.5,13.9,11.184838245021222,2.7151617549787783,29,18.9,2.4000000000000004,POR,BKN
Kemba Walker,13.1,14.0,10.077382198105127,3.922617801894873,28,34.2,0.9000000000000004,CHA,CHA
Jason Smith,4.6,6.2,7.167676996491002,0.9676769964910017,32,8.6,1.6000000000000005,WAS,NOP
Alex Abrines,4.8,4.1,5.4642692679424325,1.3642692679424329,24,15.1,-0.7000000000000002,OKC,OKC
Nik Stauskas,7.2,7.8,7.031058689567169,0.7689413104328304,24,12.8,0.5999999999999996,BKN,CLE
Mike Conley,10.9,15.1,10.366518558924616,4.733481441075384,30,31.1,4.199999999999999,MEM,MEM
Ish Smith,10.6,8.6,9.576892801056877,0.9768928010568771,29,24.9,-2.0,DET,DET
Alfonzo McKinnie,5.2,6.5,7.304791993938335,0.804791993938335,25,3.8,1.2999999999999998,TOR,GSW
Semi Ojeleye,3.2,5.7,5.400696508961808,0.2993034910381924,23,15.8,2.5,BOS,BOS
Doug McDermott,6.9,7.5,7.415244728280916,0.08475527171908404,26,21.8,0.5999999999999996,DAL,IND
DeMar DeRozan,13.5,13.5,11.329157678168482,2.1708423218315183,28,33.9,0.0,TOR,SAS
Khris Middleton,11.4,11.8,11.14707162874302,0.65292837125698,26,36.4,0.40000000000000036,MIL,MIL
Lance Thomas,3.7,4.3,5.616879487450467,1.3168794874504668,30,18.5,0.5999999999999996,NYK,NYK
