Player,TEAM,College,Country,PIE_2017,PIE_2018,AGE,MIN_2017,GP,W,L,PTS,FGM,3P%,FTM,FT%,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Height,Weight,Draft_Number,%_Box_Outs_Off,%_Box_Outs_Def,%_Team_RebWhen_Box_Out,%_Player_RebWhen_Box_Out,ContestedREB%,DeferredREB_Chances,AdjustedREB_Chance%,AVG_REBDistance,PassesMade,PassesReceived,SecondaryAST,ASTAdj,AST_ToPass%_Adj,ScreenAssists_PTS,Deflections,%_Loose_BallsRecovered_OFF,%_Loose_BallsRecovered_DEF,ChargesDrawn,Contested2PT_Shots,Contested3PT_Shots,FGM_und_5ft,FG%_und_5ft,FGM_5_9ft,FG%_5_9ft,FGM_10_14ft,FG%_10_14ft,FGM_15_19ft,FG%_15_19ft,OPP_FGM_und_5ft,OPP_FG%_und_5ft,OPP_FGM_5_9ft,OPP_FG%_5_9ft,OPP_FGM_10_14ft,OPP_FG%_10_14ft,OPP_FGM_15_19ft,OPP_FG%_15_19ft,OPP_FGM_20_24ft,OPP_FG%_20_24ft,OPP_FGM_25_29ft,OPP_FG%_25_29ft,DEFRTG,NETRTG,AST%,OREB%,DREB%,eFG%,TS%,USG%,PACE,cluster_five,cluster_ten,cluster_fourteen
Mike Conley,MEM,Ohio State,USA,10.9,15.1,30,31.1,12,7,5,17.1,5.3,31.2,4.4,80.3,1.5,1.0,0.3,2.0,28.2,0,0,-1.4,73.0,175,4,7.1,92.9,85.7,14.3,3.7,0.7,49.1,10.8,47.7,63.8,0.6,4.9,10.3,1.1,2.2,55.6,44.4,0.25,3.3,3.1,2.3,52.9,0.5,42.9,0.3,25.0,0.3,30.8,10.8,57.5,1.2,29.2,2.3,48.3,1.7,35.1,3.1,37.0,4.3,32.3,105.1,-2.6,23.4,0.0,7.0,45.2,52.0,26.0,95.68,0,5,10
Mike Muscala,ATL,Bucknell,USA,9.6,7.0,26,20.0,53,14,39,7.6,2.7,37.1,1.1,91.9,0.8,0.6,0.5,1.5,16.8,2,0,-1.5,83.0,240,44,13.6,86.4,87.7,24.6,46.1,0.4,55.0,5.6,23.7,18.1,0.1,1.1,4.5,3.5,0.9,35.0,65.0,0.0,6.2,2.6,1.1,69.1,0.1,25.0,0.2,42.9,0.1,46.2,6.9,61.9,1.0,33.3,1.5,41.2,1.6,39.1,2.7,37.4,3.0,39.2,107.9,-4.4,7.4,4.9,15.2,55.8,59.7,14.9,102.51,3,4,1
Mike Scott,WAS,Virginia,USA,9.6,6.3,29,18.5,76,39,37,8.8,3.6,40.5,0.7,65.8,1.0,0.3,0.1,1.9,14.5,0,0,-1.1,80.0,237,43,16.3,83.7,85.3,25.2,29.6,0.3,57.2,6.1,21.1,19.2,0.1,1.3,6.0,2.0,0.4,51.2,48.8,0.01,3.0,1.9,1.0,65.8,0.4,47.2,0.6,60.8,0.6,55.1,6.7,64.1,1.2,39.2,1.0,42.0,1.4,41.8,1.8,37.4,2.8,35.8,107.6,-2.0,9.3,3.6,14.1,59.0,59.9,19.4,99.15,3,4,0
Miles Plumlee,ATL,Duke,USA,7.1,12.2,29,16.7,55,19,36,4.3,1.9,0.0,0.5,45.0,1.1,0.3,0.5,1.4,11.9,1,0,-2.9,83.0,249,26,12.3,87.7,87.3,20.6,41.2,1.0,50.1,5.7,19.1,14.0,0.1,0.9,4.7,6.6,0.7,64.3,35.7,0.04,6.1,1.1,1.6,64.7,0.2,37.9,0.1,40.0,0.0,25.0,5.7,60.3,1.3,54.4,1.2,36.3,1.7,42.1,2.5,38.8,2.1,39.2,106.4,-7.3,7.4,8.2,16.0,58.3,57.4,12.7,100.64,3,8,2
Milos Teodosic,LAC,None,Serbia,7.9,3.6,31,25.2,45,29,16,9.5,3.4,37.9,0.9,84.8,2.2,0.5,0.1,2.3,19.6,0,0,1.9,77.0,196,61,0.0,100.0,85.7,10.7,15.1,0.5,43.9,9.0,48.6,48.0,0.4,5.4,11.1,0.8,1.3,33.3,66.7,0.18,3.0,2.0,0.4,64.3,0.0,25.0,0.3,57.9,0.5,43.4,10.3,62.0,1.5,34.6,1.7,40.1,2.1,38.4,2.8,36.6,3.3,35.1,107.4,2.4,25.2,1.4,9.0,54.2,56.4,17.8,101.75,1,2,8
Monte Morris,DEN,Iowa State,USA,16.7,11.3,23,8.4,3,2,1,3.3,1.3,0.0,0.7,100.0,0.3,1.0,0.0,0.3,10.3,0,0,-2.3,75.0,175,51,0.0,0.0,0.0,0.0,0.0,0.3,66.7,16.7,17.3,17.7,0.0,2.3,13.5,0.7,1.7,0.0,100.0,0.0,1.0,0.7,1.5,75.0,0.0,0.0,0.5,100.0,0.0,0.0,3.5,50.0,0.5,33.3,0.5,25.0,1.0,66.7,2.0,50.0,2.5,41.7,114.8,-14.8,36.8,0.0,8.0,66.7,72.7,13.6,103.46,4,7,4
Montrezl Harrell,LAC,Louisville,USA,14.4,14.0,24,17.0,76,39,37,11.0,4.6,14.3,1.8,62.6,0.9,0.5,0.7,1.9,19.9,0,0,0.7,80.0,240,32,16.1,83.9,83.6,26.3,47.7,0.4,54.0,5.9,17.6,16.9,0.1,1.1,6.3,3.3,0.9,50.0,50.0,0.14,5.2,2.4,3.8,71.4,0.6,45.0,0.2,46.2,0.0,25.0,6.4,59.2,1.0,34.5,1.1,44.4,1.3,37.7,2.1,39.0,2.2,35.2,107.0,2.1,9.3,8.1,14.6,63.6,64.7,22.7,102.39,3,8,2
Myles Turner,IND,Texas,USA,10.0,11.9,22,28.2,65,39,26,12.7,4.7,35.7,2.5,77.7,1.5,0.6,1.8,2.9,28.2,11,0,1.8,83.0,255,11,8.9,91.1,86.1,22.8,45.8,0.9,52.1,4.8,35.7,27.6,0.1,1.5,4.2,8.9,1.6,38.5,61.5,0.05,7.8,2.3,1.8,59.8,0.3,46.2,0.2,38.1,1.1,48.6,9.8,59.8,2.1,43.7,1.6,42.0,2.4,43.9,2.8,40.2,4.3,34.7,105.3,3.0,7.1,5.2,17.4,52.3,56.7,19.9,97.74,3,4,0
Naz Mitrou-Long,UTA,Iowa State,Canada,60.0,1.6,24,0.5,1,0,1,3.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0,5.0,76.0,218,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,150.0,150.0,50.0,139.35,2,9,5
Nemanja Bjelica,MIN,None,Serbia,8.2,9.6,30,20.5,67,38,29,6.8,2.6,41.5,0.5,80.0,0.8,0.7,0.2,2.1,15.8,1,0,0.1,82.0,230,35,16.9,83.1,82.8,27.6,37.2,0.4,59.8,5.9,24.9,16.6,0.2,1.5,6.2,0.7,1.3,41.0,59.0,0.03,4.2,2.5,1.1,59.8,0.3,37.5,0.0,37.5,0.0,0.0,8.3,66.4,1.2,37.6,1.1,41.8,1.5,42.5,2.9,39.1,2.2,32.9,107.8,0.0,8.8,3.9,16.4,56.3,58.1,13.9,99.42,3,4,13
