Player,TEAM,College,Country,PIE_2017,PIE_2018,AGE,MIN_2017,GP,W,L,PTS,FGM,3P%,FTM,FT%,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Height,Weight,Draft_Number,%_Box_Outs_Off,%_Box_Outs_Def,%_Team_RebWhen_Box_Out,%_Player_RebWhen_Box_Out,ContestedREB%,DeferredREB_Chances,AdjustedREB_Chance%,AVG_REBDistance,PassesMade,PassesReceived,SecondaryAST,ASTAdj,AST_ToPass%_Adj,ScreenAssists_PTS,Deflections,%_Loose_BallsRecovered_OFF,%_Loose_BallsRecovered_DEF,ChargesDrawn,Contested2PT_Shots,Contested3PT_Shots,FGM_und_5ft,FG%_und_5ft,FGM_5_9ft,FG%_5_9ft,FGM_10_14ft,FG%_10_14ft,FGM_15_19ft,FG%_15_19ft,OPP_FGM_und_5ft,OPP_FG%_und_5ft,OPP_FGM_5_9ft,OPP_FG%_5_9ft,OPP_FGM_10_14ft,OPP_FG%_10_14ft,OPP_FGM_15_19ft,OPP_FG%_15_19ft,OPP_FGM_20_24ft,OPP_FG%_20_24ft,OPP_FGM_25_29ft,OPP_FG%_25_29ft,DEFRTG,NETRTG,AST%,OREB%,DREB%,eFG%,TS%,USG%,PACE,cluster_five,cluster_ten,cluster_fourteen
Corey Brewer,OKC,Florida,USA,5.9,6.3,32,16.8,72,32,40,5.3,2.0,28.2,0.9,72.2,0.7,1.1,0.2,1.9,12.4,0,0,-0.8,81.0,186,7,17.5,82.5,89.2,10.8,23.4,0.3,50.8,8.6,10.3,10.3,0.0,1.0,10.0,0.3,1.8,31.3,68.7,0.15,2.2,2.3,1.4,56.7,0.1,30.8,0.0,0.0,0.0,42.9,6.8,60.9,1.3,42.0,1.0,42.8,1.1,39.3,2.1,37.9,2.4,39.5,108.1,-2.3,7.3,3.3,8.9,49.8,53.4,13.6,103.74,3,4,13
Cory Joseph,IND,Texas,Canada,7.8,8.7,26,27.0,82,48,34,7.9,3.1,35.3,0.9,74.5,1.1,1.0,0.2,1.7,19.0,1,0,-0.6,75.0,190,29,6.7,93.3,85.4,12.2,18.6,0.5,52.5,9.2,40.7,44.9,0.5,3.7,9.1,0.6,1.5,35.1,64.9,0.07,3.0,3.5,0.8,52.4,0.3,54.5,0.4,41.4,0.7,43.0,9.7,64.5,1.7,42.2,1.6,40.5,2.3,44.9,2.7,40.7,3.8,31.2,106.5,-1.1,16.4,1.7,10.1,47.9,50.3,14.3,97.89,1,2,0
Courtney Lee,NYK,Western Kentucky,USA,8.5,6.8,32,30.4,76,27,49,12.0,4.5,40.6,1.5,91.9,1.1,1.1,0.2,1.4,21.8,1,0,-3.4,77.0,200,22,1.5,98.5,88.1,23.8,16.9,0.3,55.4,10.1,25.9,32.5,0.3,2.8,10.7,0.5,1.9,33.3,66.7,0.03,2.4,2.8,1.2,62.6,0.3,40.7,0.6,47.8,0.7,44.0,11.4,59.2,1.7,37.7,1.8,43.2,2.1,42.1,4.0,40.6,4.3,36.0,110.8,-5.5,11.3,1.3,8.2,52.9,56.4,16.5,98.02,1,4,1
Cristiano Felicio,CHI,None,Brazil,8.2,8.6,25,17.8,55,13,42,5.6,2.3,0.0,1.0,66.7,1.0,0.3,0.2,1.9,12.7,3,0,-6.1,81.0,280,61,29.5,70.5,83.1,28.1,47.6,0.5,50.2,5.0,15.1,14.8,0.1,1.1,7.6,5.8,0.6,58.6,41.4,0.0,4.1,1.5,1.9,67.5,0.2,47.8,0.0,16.7,0.1,38.9,6.8,66.2,0.9,43.5,0.9,41.8,1.0,41.5,2.6,37.2,2.8,37.6,111.2,-16.4,9.3,7.6,15.8,59.1,61.4,13.3,98.9,3,8,2
D'Angelo Russell,BKN,Ohio State,USA,10.9,14.1,22,25.7,48,16,32,15.5,5.8,32.4,2.0,74.0,3.1,0.8,0.4,1.9,28.2,5,1,-3.8,77.0,195,2,5.0,95.0,95.7,17.4,15.3,0.4,57.4,8.0,45.7,59.3,0.5,6.0,13.1,0.6,1.7,26.1,73.9,0.0,2.4,1.9,1.7,56.9,0.6,34.6,0.6,44.9,0.8,51.4,10.6,58.2,2.6,42.1,2.2,44.8,2.0,39.2,2.7,40.3,3.0,40.4,112.4,-7.2,34.8,2.3,12.2,48.1,50.9,29.5,103.04,1,2,8
D.J. Augustin,ORL,Texas,USA,10.7,10.3,30,23.5,75,23,52,10.2,3.3,41.9,2.2,86.8,1.6,0.7,0.0,1.3,19.0,2,0,-1.7,72.0,183,9,2.2,97.8,92.5,9.0,10.6,0.4,45.7,11.3,40.7,48.3,0.5,4.5,10.9,0.6,0.9,35.1,64.9,0.11,1.4,1.4,1.2,53.2,0.1,29.7,0.1,42.9,0.2,48.0,9.7,63.7,1.5,37.9,1.5,42.0,1.6,36.3,2.5,36.8,2.8,33.2,106.3,-3.8,25.1,1.6,7.2,55.7,61.5,18.2,99.57,1,2,8
D.J. Wilson,MIL,Michigan,USA,6.5,7.5,22,3.2,22,12,10,1.0,0.4,40.0,0.0,50.0,0.2,0.1,0.0,0.3,2.1,0,0,-1.9,82.0,236,17,0.0,100.0,100.0,50.0,20.0,0.0,83.3,6.4,3.9,2.7,0.0,0.2,4.7,0.4,0.1,0.0,0.0,0.0,0.6,0.4,0.3,83.3,0.2,100.0,0.0,0.0,0.0,0.0,1.7,69.8,0.6,83.3,0.1,33.3,0.4,33.3,0.4,31.6,0.6,52.6,112.9,-30.7,7.5,2.9,15.7,62.5,62.2,12.7,100.93,0,6,6
Damian Jones,GSW,Vanderbilt,USA,3.3,7.2,23,5.9,15,7,8,1.7,0.7,0.0,0.2,60.0,0.3,0.1,0.2,0.9,3.5,0,0,0.0,84.0,245,30,20.8,79.2,94.1,35.3,57.1,0.3,40.0,5.0,4.9,4.5,0.0,0.1,2.7,0.9,0.2,100.0,0.0,0.0,2.1,0.5,0.7,66.7,0.1,50.0,0.0,0.0,0.0,0.0,2.3,57.6,0.4,33.3,0.7,61.5,0.4,37.5,0.7,33.3,0.5,21.2,97.8,0.5,3.7,6.0,9.3,50.0,51.7,14.3,99.29,0,3,3
Damian Lillard,POR,Weber State,USA,16.5,15.5,27,36.6,73,44,29,26.9,8.5,36.1,6.8,91.6,2.8,1.1,0.4,1.6,43.6,11,0,4.7,75.0,195,6,6.3,93.8,89.5,7.9,16.3,0.5,49.2,9.5,54.2,71.9,0.8,7.6,14.1,0.4,1.8,37.7,62.3,0.11,2.8,1.9,3.2,53.4,0.5,48.6,0.5,39.8,0.8,49.1,12.2,54.5,2.8,46.0,2.7,41.0,3.2,42.3,4.4,38.4,3.9,36.1,104.5,6.1,30.1,2.2,9.4,51.9,59.4,29.5,98.61,1,2,8
Damion Lee,ATL,Louisville,USA,8.6,8.5,25,27.0,15,4,11,10.7,4.1,25.0,1.5,75.9,0.9,1.3,0.1,1.7,22.4,0,0,-1.6,78.0,210,61,8.0,92.0,88.9,16.7,14.1,0.4,53.4,7.6,28.3,28.5,0.3,2.4,8.5,0.0,1.7,47.4,52.6,0.0,1.9,2.8,1.7,61.9,0.3,27.8,0.5,44.4,0.3,50.0,9.0,61.1,1.7,41.0,1.9,34.5,2.6,50.0,3.7,39.3,3.5,30.8,104.3,-3.6,10.9,2.4,13.8,45.7,48.9,18.2,102.25,0,5,10
Damyean Dotson,NYK,Houston,USA,9.2,7.6,24,10.8,44,11,33,4.1,1.6,32.4,0.4,69.6,0.4,0.3,0.0,0.8,8.1,2,0,-0.9,77.0,210,44,0.0,100.0,100.0,33.3,14.3,0.1,66.1,7.6,9.5,10.3,0.1,0.9,9.1,0.1,0.3,33.3,66.7,0.0,0.8,1.1,0.5,58.3,0.1,37.5,0.3,64.7,0.2,50.0,3.8,57.1,0.9,37.0,0.7,42.6,0.9,40.9,1.3,34.2,1.3,31.6,101.4,-2.8,9.8,1.8,14.2,51.6,53.2,16.9,99.73,0,5,10
Daniel Hamilton,OKC,Connecticut,USA,18.6,7.0,22,4.6,6,5,1,2.0,0.8,40.0,0.0,0.0,0.3,0.2,0.0,0.3,5.2,0,0,-2.0,79.0,195,56,0.0,0.0,0.0,0.0,0.0,0.3,45.5,3.8,8.2,9.2,0.0,1.3,16.3,0.0,0.2,0.0,100.0,0.0,0.3,0.5,0.3,50.0,0.0,0.0,0.3,100.0,0.0,0.0,2.2,72.2,0.5,20.0,1.0,50.0,0.3,50.0,0.7,40.0,0.2,8.3,101.8,-22.8,61.5,0.0,16.7,54.5,54.5,20.0,97.81,4,7,4
Daniel Theis,BOS,None,Germany,10.5,9.5,26,14.9,63,44,19,5.3,2.0,31.0,1.0,75.3,0.9,0.5,0.8,2.5,14.6,2,0,0.0,81.0,243,61,27.2,72.8,84.6,34.6,56.0,0.6,57.0,5.0,18.1,14.1,0.0,1.0,5.4,4.2,0.9,43.2,56.8,0.0,5.1,1.3,1.3,68.9,0.1,41.7,0.1,53.3,0.2,47.8,5.3,56.4,0.8,34.0,0.7,35.8,1.1,38.4,1.3,36.8,2.1,38.0,101.9,1.2,9.9,9.2,18.9,57.9,61.6,15.0,98.06,3,8,2
Danilo Gallinari,LAC,None,Italy,10.3,14.3,29,32.0,21,11,10,15.3,4.9,32.4,3.9,93.1,1.2,0.6,0.5,1.4,26.0,0,0,0.5,82.0,225,6,6.5,93.5,83.3,20.8,26.7,0.8,53.4,7.0,34.4,33.8,0.4,2.4,7.1,2.6,1.8,33.3,66.7,0.1,5.3,3.4,1.5,55.2,0.2,33.3,0.3,30.4,0.7,42.4,10.7,58.9,2.1,37.6,2.5,48.2,2.5,36.6,3.9,38.0,4.2,35.0,104.2,0.3,9.7,1.3,13.3,46.9,54.5,20.5,97.96,0,5,10
Danny Green,SAS,North Carolina,USA,7.3,7.9,31,25.6,70,40,30,8.6,3.1,36.3,0.7,76.9,1.1,0.9,1.1,1.7,20.3,0,0,1.3,78.0,215,46,9.7,90.3,89.2,17.6,20.9,0.5,52.0,6.9,28.4,26.2,0.3,2.0,7.1,0.5,2.0,46.0,54.0,0.04,5.5,2.9,0.9,50.4,0.1,32.3,0.1,23.1,0.3,43.2,8.8,59.2,1.7,34.0,1.9,45.0,2.1,43.2,2.6,35.6,2.9,35.3,102.7,2.4,8.9,2.2,11.5,49.0,50.9,16.3,95.83,3,4,13
Dante Cunningham,BKN,Villanova,USA,6.5,6.7,31,21.4,73,34,39,5.7,2.2,34.5,0.4,59.6,0.5,0.5,0.4,1.5,14.0,1,0,-1.1,80.0,230,33,12.2,87.8,87.7,23.1,33.6,0.4,52.3,6.3,21.9,14.5,0.1,0.8,3.5,2.3,1.0,34.1,65.9,0.01,4.6,1.6,1.2,61.4,0.0,16.7,0.0,23.1,0.1,42.9,8.3,62.6,1.9,43.5,1.6,42.1,1.8,40.3,2.2,35.4,2.9,36.6,107.3,-1.1,4.2,4.9,13.3,53.0,53.9,11.4,102.12,3,4,13
Dante Exum,UTA,None,Australia,11.7,8.2,22,16.8,14,10,4,8.1,3.0,27.8,1.8,80.6,1.4,0.6,0.2,1.4,15.9,0,0,2.3,78.0,190,5,10.0,90.0,100.0,16.7,26.9,0.1,40.0,5.6,24.9,30.5,0.2,3.3,13.2,0.4,1.0,80.0,20.0,0.14,2.0,2.1,2.1,57.7,0.4,42.9,0.1,50.0,0.0,0.0,4.8,49.3,1.6,36.5,1.2,37.0,1.2,31.5,1.7,44.4,1.9,40.9,98.4,8.1,27.0,1.8,8.3,51.1,56.6,22.3,101.72,0,3,3
Danuel House Jr.,PHX,Texas A&M,USA,9.1,7.4,25,17.5,23,6,17,6.6,2.4,25.9,1.1,80.6,0.5,0.3,0.3,1.0,13.4,0,0,0.8,79.0,220,61,0.0,100.0,88.2,17.6,19.7,0.3,63.3,7.4,14.2,14.3,0.1,1.2,8.3,0.3,0.5,40.0,60.0,0.0,3.3,2.5,1.5,64.8,0.1,37.5,0.0,100.0,0.0,0.0,5.0,54.5,1.4,43.7,1.5,44.0,1.7,44.7,1.6,33.3,3.0,38.2,103.4,3.2,9.2,3.2,14.0,49.2,53.3,16.0,100.74,0,6,6
Dario Saric,PHI,None,Croatia,11.5,8.8,24,29.6,78,49,29,14.6,5.2,39.3,2.3,86.0,1.9,0.7,0.3,2.1,27.3,13,0,3.7,82.0,223,12,25.2,74.8,88.8,33.6,34.3,1.0,52.8,5.6,44.7,37.5,0.2,2.9,6.6,2.2,1.3,52.2,47.8,0.01,6.0,3.6,2.2,62.1,0.3,35.2,0.1,32.1,0.3,34.2,9.7,57.6,2.2,40.2,1.9,37.3,2.6,40.0,2.9,36.8,4.3,35.3,103.0,5.9,12.9,6.7,14.7,54.1,58.2,20.4,101.15,1,1,12
Darius Miller,NOP,Kentucky,USA,5.6,4.8,28,23.7,82,48,34,7.8,2.6,41.1,0.7,86.6,0.7,0.3,0.2,2.0,13.1,0,0,-0.3,80.0,225,46,2.8,97.2,86.4,9.1,25.0,0.4,56.4,9.5,15.8,17.4,0.1,1.5,9.3,0.5,0.8,55.2,44.8,0.0,3.0,2.4,0.1,58.8,0.0,33.3,0.2,57.1,0.3,50.0,9.4,62.9,2.2,44.9,1.6,38.9,1.8,41.5,2.3,34.0,3.2,33.5,108.7,-0.6,7.6,0.9,7.0,59.4,61.7,12.4,102.1,3,4,0
Darren Collison,IND,UCLA,USA,11.4,11.4,30,29.3,69,39,30,12.4,4.6,46.8,1.8,88.2,1.2,1.3,0.2,1.8,26.9,6,0,1.9,74.0,185,21,7.7,92.3,81.8,9.1,9.6,0.3,51.0,12.2,49.6,57.1,0.5,6.0,12.1,0.4,2.3,35.4,64.6,0.0,1.9,2.8,1.5,61.8,0.1,17.4,0.1,47.6,1.1,44.8,11.0,63.6,2.1,44.0,1.8,43.2,2.2,41.7,2.7,38.6,4.6,36.4,107.5,2.6,25.7,1.9,7.2,57.1,61.0,17.0,97.97,1,2,8
David Nwaba,CHI,Cal Poly-Obispo,USA,7.5,7.1,25,23.5,70,26,44,7.9,2.9,34.6,1.9,65.5,1.1,0.8,0.4,2.3,18.4,3,0,-3.4,76.0,209,61,37.9,62.1,78.4,20.6,27.6,0.8,51.7,7.1,14.1,16.0,0.2,1.7,12.3,0.3,1.5,37.7,62.3,0.0,3.2,2.7,2.2,55.7,0.4,32.9,0.1,27.8,0.0,0.0,9.7,65.1,1.2,39.3,1.2,42.6,1.4,41.1,3.2,36.3,3.6,36.2,109.7,-5.8,9.4,5.0,14.2,49.9,54.2,15.3,99.65,3,8,7
Davis Bertans,SAS,None,Latvia,9.2,8.2,25,14.1,77,43,34,5.9,2.1,37.3,0.5,81.6,0.5,0.3,0.4,1.2,11.4,0,0,1.2,82.0,210,42,8.6,91.4,91.7,18.9,35.9,0.3,53.5,5.5,18.3,14.0,0.1,1.1,5.8,1.1,0.6,50.0,50.0,0.01,3.9,1.6,0.6,77.6,0.1,35.3,0.1,60.0,0.0,21.4,5.1,59.0,1.2,41.1,1.1,39.8,1.2,38.7,1.8,41.6,1.7,33.2,100.6,3.5,10.2,1.7,12.2,56.8,58.8,16.8,98.63,3,4,0
Davon Reed,PHX,Miami,USA,4.7,4.8,23,11.5,21,2,19,3.0,1.0,28.9,0.4,66.7,0.5,0.5,0.1,0.8,7.4,0,0,-3.6,78.0,210,32,0.0,100.0,83.3,8.3,7.7,0.3,54.9,6.5,11.0,10.4,0.1,0.9,7.8,0.0,0.8,45.5,54.5,0.05,1.3,0.6,0.2,35.7,0.1,40.0,0.1,50.0,0.1,28.6,4.6,60.0,0.8,44.4,0.6,30.6,1.0,34.6,1.3,41.9,1.7,42.2,105.4,-14.2,8.7,0.7,14.9,36.2,38.8,15.8,102.97,0,6,6
De'Aaron Fox,SAC,Kentucky,USA,7.4,11.9,20,27.7,73,24,49,11.6,4.5,30.7,1.9,72.3,2.4,1.0,0.3,2.2,22.8,3,0,-5.7,75.0,175,5,0.0,100.0,100.0,4.8,16.7,0.4,46.3,9.5,50.9,61.0,0.5,5.0,9.8,0.4,1.5,19.0,81.0,0.04,2.7,3.6,1.9,56.2,0.6,38.8,0.4,30.0,0.7,40.6,10.4,63.2,1.8,39.5,1.4,45.0,1.5,39.3,3.9,39.6,4.1,38.3,111.8,-10.2,24.0,1.6,8.7,44.1,47.8,22.7,98.06,1,2,8
DeAndre Jordan,LAC,Texas A&M,USA,15.2,15.4,29,31.5,77,39,38,12.0,4.8,0.0,2.4,58.0,1.8,0.5,0.9,2.6,35.0,46,0,-1.7,83.0,265,35,42.4,57.6,83.8,53.5,37.3,0.8,65.8,4.6,43.5,22.7,0.2,1.8,4.1,8.9,1.1,41.0,59.0,0.03,6.2,1.6,4.7,67.0,0.1,31.4,0.0,33.3,0.0,0.0,11.5,63.3,1.9,40.7,2.3,43.4,2.5,38.0,4.0,39.5,4.3,35.2,110.3,-2.4,7.4,13.2,33.9,64.5,64.8,15.1,98.61,3,1,12
DeAndre' Bembry,ATL,St. Joseph's (PA),USA,6.3,8.1,23,17.5,26,8,18,5.2,2.0,36.7,0.7,57.6,1.8,0.8,0.5,1.5,13.4,0,0,-2.9,78.0,210,21,5.7,94.3,100.0,15.8,23.6,0.4,54.5,8.1,21.8,23.2,0.1,2.1,9.6,0.1,1.5,43.8,56.3,0.04,2.2,1.5,1.3,48.5,0.2,26.7,0.2,30.8,0.0,50.0,6.0,63.6,1.0,41.9,1.3,46.5,1.6,39.6,2.6,44.2,2.5,34.3,106.7,-7.5,16.6,1.7,14.2,45.7,47.7,17.9,100.86,0,5,10
DeMar DeRozan,TOR,Southern California,USA,13.5,13.5,28,33.9,80,57,23,23.0,8.1,31.0,5.8,82.5,2.2,1.1,0.3,1.9,37.4,0,0,5.5,79.0,220,9,0.9,99.1,89.7,12.8,18.4,0.5,51.9,9.2,37.6,54.9,0.8,6.1,16.1,0.3,1.8,37.8,62.2,0.03,2.2,1.6,2.7,62.3,1.0,47.6,1.5,41.5,1.4,43.7,12.8,58.6,2.3,34.5,2.6,42.7,2.8,42.6,2.8,36.1,4.3,37.5,106.5,7.7,24.5,2.1,9.1,48.8,55.5,28.6,99.47,1,2,8
DeMarcus Cousins,NOP,Kentucky,USA,16.7,13.9,27,36.2,48,27,21,25.2,8.5,35.4,6.1,74.6,5.0,1.6,1.6,3.8,53.3,38,3,1.6,83.0,270,5,26.6,73.2,91.3,44.4,39.7,0.8,63.5,4.5,59.9,60.7,0.4,5.9,9.9,5.3,2.7,42.1,57.9,0.5,10.7,2.7,5.0,59.8,0.6,37.3,0.4,48.6,0.3,38.7,12.8,62.3,2.7,42.7,2.3,42.7,2.8,38.8,4.2,37.2,5.4,37.6,106.6,1.9,24.1,6.5,29.2,53.0,58.3,31.8,100.29,1,1,12
DeMarre Carroll,BKN,Missouri,USA,10.1,9.2,31,29.9,73,25,48,13.5,4.5,37.1,2.6,76.4,1.4,0.8,0.4,2.3,26.6,13,0,-0.9,80.0,215,27,12.4,87.6,89.0,31.9,30.2,0.8,53.4,6.8,36.5,32.4,0.4,2.4,6.6,1.7,1.7,47.4,52.6,0.05,4.9,2.4,1.7,55.5,0.4,34.1,0.2,36.7,0.1,26.7,10.8,58.6,2.9,41.1,2.5,40.8,3.2,47.0,3.2,38.2,2.9,36.2,107.8,-1.2,10.6,4.5,16.5,50.6,55.0,19.4,99.88,3,4,1
Delon Wright,TOR,Utah,USA,11.6,10.9,26,20.8,69,49,20,8.0,2.9,36.6,1.4,82.9,1.1,1.0,0.5,1.2,19.3,1,0,3.4,77.0,190,20,6.3,93.8,90.7,9.3,18.2,0.4,47.7,8.1,32.6,34.5,0.4,3.4,10.5,0.4,2.0,31.3,68.8,0.09,2.8,1.6,1.8,57.7,0.2,29.3,0.1,36.4,0.0,50.0,7.8,56.9,1.4,34.9,1.3,42.5,1.4,44.7,1.6,33.1,2.4,36.6,102.7,7.3,20.2,3.1,10.7,53.0,57.4,16.9,97.96,1,4,0
Demetrius Jackson,PHI,Notre Dame,USA,3.7,10.9,23,5.3,15,12,3,1.1,0.5,14.3,0.1,50.0,0.7,0.3,0.1,0.5,3.5,0,0,-2.5,73.0,201,45,0.0,100.0,100.0,0.0,25.0,0.2,80.0,10.1,9.9,10.7,0.0,0.6,6.1,0.0,0.3,100.0,0.0,0.0,0.5,0.7,0.4,54.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9,69.0,0.4,29.4,0.2,18.2,0.5,50.0,0.6,45.0,1.1,37.2,110.3,-24.1,18.8,6.0,8.6,41.7,42.4,15.6,99.66,0,3,3
Dennis Schroder,ATL,None,Germany,11.6,9.3,24,31.0,67,21,46,19.4,7.5,29.0,3.4,84.9,2.7,1.1,0.1,2.2,33.2,5,0,-4.1,73.0,172,17,5.9,94.1,87.9,6.1,12.1,0.5,42.3,10.2,62.7,79.8,0.7,7.1,11.4,1.0,1.7,39.3,60.7,0.24,2.7,3.4,3.2,52.7,0.4,37.0,0.9,42.2,1.6,47.7,11.5,62.1,2.0,45.0,2.4,45.1,2.6,45.5,4.3,38.8,4.1,38.7,111.8,-6.7,35.2,2.1,8.1,46.9,51.5,29.9,98.94,1,2,8
Dennis Smith Jr.,DAL,North Carolina State,USA,8.7,8.4,20,29.7,69,22,47,15.2,5.9,31.3,1.9,69.4,2.8,1.0,0.3,2.2,28.6,6,1,-4.7,75.0,195,9,0.0,100.0,86.7,6.7,20.8,0.7,41.5,8.0,57.3,67.3,0.9,6.2,10.7,1.1,2.1,53.9,46.1,0.06,3.3,3.7,3.1,55.5,0.2,24.6,0.2,18.2,0.5,30.4,10.5,65.1,2.3,40.6,2.1,46.5,2.2,41.3,4.0,43.2,3.9,36.0,110.1,-7.6,30.1,2.3,10.6,44.6,47.3,28.0,98.16,1,2,8
Derrick Favors,UTA,Georgia Tech,USA,11.9,14.2,26,28.0,77,46,31,12.3,5.1,22.2,1.8,65.1,1.1,0.7,1.1,2.1,27.0,15,0,1.9,82.0,265,3,22.2,77.8,86.8,36.6,50.0,0.7,54.5,4.8,39.3,30.2,0.2,1.6,4.0,6.2,1.3,57.4,42.6,0.0,8.2,2.6,3.7,72.1,0.4,40.3,0.3,40.0,0.5,39.1,9.4,60.7,2.3,40.4,2.1,40.4,2.2,39.4,3.3,40.1,3.1,36.1,102.6,3.6,7.5,9.7,16.7,57.3,59.3,18.1,97.13,3,1,12
Derrick Jones Jr.,MIA,UNLV,USA,4.6,8.1,21,12.3,20,9,11,3.1,1.1,16.7,0.8,66.7,0.4,0.2,0.7,1.2,8.2,0,0,-1.8,79.0,200,61,9.1,90.9,100.0,12.5,31.6,0.2,59.4,7.7,7.2,6.5,0.1,0.6,7.7,0.3,0.4,50.0,50.0,0.05,2.6,1.1,0.7,54.2,0.3,62.5,0.0,0.0,0.0,0.0,4.7,53.1,1.2,38.9,1.0,51.4,1.2,44.7,1.1,37.0,1.4,32.1,103.2,-6.5,5.6,7.7,6.6,42.5,48.0,12.4,97.11,0,6,6
Derrick Rose,MIN,Memphis,USA,6.8,12.8,29,16.8,25,15,10,8.4,3.2,23.3,1.6,87.0,1.4,0.3,0.2,0.6,12.2,0,0,-2.1,75.0,190,1,20.0,80.0,88.9,22.2,31.4,0.2,49.3,10.8,18.4,24.4,0.4,1.9,10.2,0.4,0.5,35.3,64.7,0.0,2.1,1.3,2.2,62.5,0.2,27.3,0.2,41.7,0.2,16.0,7.9,62.7,1.1,36.5,1.5,49.3,1.6,49.4,2.0,42.7,2.0,35.8,113.9,-6.2,13.6,3.3,5.3,45.4,50.7,24.5,102.47,0,5,10
Derrick White,SAS,Colorado,USA,12.4,9.6,23,8.2,17,7,10,3.2,0.9,61.5,0.8,70.0,0.4,0.2,0.2,0.5,6.7,0,0,1.8,76.0,190,29,0.0,100.0,100.0,66.7,38.5,0.1,59.1,6.3,10.6,10.5,0.0,0.5,5.0,0.3,0.5,80.0,20.0,0.06,1.0,1.5,0.3,55.6,0.1,33.3,0.1,25.0,0.1,33.3,3.3,62.4,0.4,23.8,0.7,40.9,0.6,33.3,0.8,28.2,0.9,25.9,87.5,13.5,9.8,3.4,12.8,60.6,64.6,14.6,103.45,0,3,3
Devin Booker,PHX,Kentucky,USA,12.3,13.4,21,34.5,54,16,38,24.9,8.4,38.3,5.4,87.8,3.6,0.9,0.3,3.1,37.2,4,0,-6.6,78.0,210,13,2.9,97.1,84.1,13.6,13.9,0.7,50.2,8.4,38.8,58.4,0.5,5.5,14.1,1.0,1.4,47.7,52.3,0.07,2.9,3.3,2.4,57.7,0.7,33.3,1.2,40.8,1.0,46.3,14.0,62.0,2.2,39.8,2.1,39.2,2.7,44.3,4.3,38.3,4.9,37.8,112.2,-9.3,23.3,1.3,11.2,50.1,56.1,30.1,103.68,1,2,8
Devin Harris,DEN,Wisconsin,USA,7.6,6.5,35,18.9,71,33,38,8.4,2.6,34.8,2.0,83.5,1.1,0.7,0.2,2.2,15.2,0,0,1.5,75.0,185,5,2.8,97.2,84.3,21.6,22.8,0.3,51.6,9.3,24.1,27.7,0.2,2.3,9.5,0.2,1.3,43.6,56.4,0.17,1.4,1.5,1.3,58.2,0.1,18.2,0.1,37.5,0.1,25.0,6.7,63.6,1.1,37.4,1.3,40.5,1.4,36.6,2.6,38.9,2.1,36.1,105.3,4.1,16.5,0.9,8.5,49.9,56.3,19.4,100.08,3,4,13
Devin Robinson,WAS,Florida,USA,8.5,11.2,23,13.2,1,0,1,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,11.0,0,0,10.0,80.0,200,61,0.0,100.0,0.0,0.0,40.0,0.0,62.5,4.7,17.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,66.7,1.0,50.0,0.0,0.0,1.0,20.0,0.0,0.0,2.0,66.7,85.2,28.6,0.0,9.5,25.0,33.3,33.3,8.3,101.72,4,7,4
Dewayne Dedmon,ATL,Southern California,USA,11.9,10.7,28,24.9,62,18,44,10.0,4.0,35.5,1.1,77.9,1.4,0.6,0.8,2.6,24.6,15,0,-2.5,84.0,245,61,21.2,78.8,84.1,39.7,37.6,0.4,60.9,4.8,31.8,23.8,0.1,1.5,4.8,6.2,1.3,49.2,50.8,0.06,5.8,2.8,1.9,74.4,0.3,45.5,0.4,43.9,0.5,50.8,8.2,60.7,1.5,42.5,1.8,43.3,2.4,48.4,3.4,37.4,3.4,36.6,108.3,-5.1,9.0,6.5,24.9,57.7,59.9,16.6,99.61,3,8,1
Deyonta Davis,MEM,Michigan State,USA,10.8,10.8,21,15.2,62,16,46,5.8,2.6,0.0,0.6,66.7,0.5,0.2,0.6,2.0,13.7,1,0,-2.6,83.0,237,31,18.3,81.7,86.0,32.7,39.2,0.4,58.5,5.1,16.8,11.5,0.0,0.7,4.3,4.8,0.7,50.0,50.0,0.0,4.6,1.0,2.0,74.1,0.1,33.3,0.2,42.3,0.2,40.0,5.9,62.0,0.9,38.8,1.0,42.2,1.0,46.3,1.8,39.6,1.8,30.3,109.3,-8.3,6.8,7.8,18.2,60.8,62.1,14.4,99.98,3,8,2
Dillon Brooks,MEM,Oregon,Canada,6.3,3.4,22,28.7,82,22,60,11.0,4.1,35.6,1.5,74.7,1.5,0.9,0.2,2.8,19.0,0,0,-3.0,78.0,220,45,13.3,86.7,86.6,15.5,26.5,0.4,49.8,7.3,26.2,30.0,0.4,2.1,7.9,0.4,1.7,38.1,61.9,0.06,3.7,3.9,1.9,61.9,0.4,45.3,0.3,36.0,0.2,20.8,9.9,62.0,1.6,38.0,1.7,39.0,1.6,39.8,3.3,40.8,3.6,33.4,107.4,-5.0,9.2,2.1,9.2,50.1,53.1,18.4,95.9,3,4,1
